deal id,proposed ticker,company name,proposed exchange,proposed share price,shares offered,date,year,month,dollar value of offering,,,Year,Count
741574-54184,UHN,"United States Diesel-Heating Oil Fund, LP",American Stock Exchange,50,"10,000,000",2008-04-09T00:00:00+03:00,2008,4,"$500,000,000",,,,
778781-58407,SB,"SAFE BULKERS, INC.",New York Stock Exchange,19,"10,000,000",2008-05-29T00:00:00+03:00,2008,5,"$190,000,000",,,,
748929-55945,ASUV,"THC Therapeutics, Inc.",OTCBB,0.25,"1,590,000",2008-05-22T00:00:00+03:00,2008,5,"$397,500",,,,
767367-57362,SINO,"Sino-Global Shipping America, Ltd.",Nasdaq Smallcap Market,7.75,"1,129,032",2008-05-21T00:00:00+03:00,2008,5,"$8,749,998",,,,
765363-57128,MLVF,MALVERN FEDERAL BANCORP INC,Nasdaq National Market,10,"2,645,575",2008-05-20T00:00:00+03:00,2008,5,"$26,455,750",,,,
776902-58209,CFQUF,Wowjoint Holdings Ltd,OTCBB,8,"3,750,000",2008-05-16T00:00:00+03:00,2008,5,"$30,000,000",,,,
770217-57657,AGNC,AGNC Investment Corp.,Nasdaq National Market,20,"10,000,000",2008-05-15T00:00:00+03:00,2008,5,"$200,000,000",,,,
765400-57141,VRS,Verso Corp,New York Stock Exchange,12,"14,000,000",2008-05-15T00:00:00+03:00,2008,5,"$168,000,000",,,,
95561-57562,ZN.U,ZION OIL & GAS INC,American Stock Exchange,10,"2,500,000",2008-05-14T00:00:00+03:00,2008,5,"$25,000,000",,,,
759348-56412,WES,"Western Midstream Operating, LP",New York Stock Exchange,16.5,"18,750,000",2008-05-09T00:00:00+03:00,2008,5,"$309,375,000",,,,
